bar_type,seed,agent_id,uncorrected_regret,corrected_regret
passive,34,6,0.056825463965205276,0.056825463965205276
passive,34,7,0.054472845737432996,0.054472845737432996
passive,34,8,0.10022656347727912,0.10022656347727912
passive,34,9,0.07482223170782512,0.07482223170782512
passive,35,0,0.0911914711466914,0.0911914711466914
passive,35,1,0.025330312817642663,0.025330312817642663
passive,35,2,0.11028184465678113,0.11028184465678113
passive,35,3,0.09090853619887043,0.09090853619887043
passive,35,4,0.05378607946864785,0.05378607946864785
passive,35,5,0.09455162580512845,0.09455162580512845
passive,35,6,0.1025461523198715,0.1025461523198715
passive,35,7,0.044919515600694036,0.044919515600694036
passive,35,8,0.03995063913843726,0.03995063913843726
passive,35,9,0.023360433318567596,0.023360433318567596
passive,36,0,0.08765325737717232,0.08765325737717232
passive,36,1,0.0768781805437053,0.0768781805437053
passive,36,2,0.11267485041792909,0.11267485041792909
passive,36,3,0.07328752885581674,0.07328752885581674
passive,36,4,0.08640317353206228,0.08640317353206228
passive,36,5,0.082270183268035,0.082270183268035
passive,36,6,0.026834994462191706,0.026834994462191706
passive,36,7,0.06982501809718639,0.06982501809718639
passive,36,8,0.12757979574562206,0.12757979574562206
passive,36,9,0.05544723919083704,0.05544723919083704
passive,37,0,0.0399385887534435,0.0399385887534435
passive,37,1,0.11374435541541146,0.11374435541541146
passive,37,2,0.079877177506887,0.079877177506887
passive,37,3,0.08171891607670387,0.08171891607670387
passive,37,4,0.06980091732719887,0.06980091732719887
passive,37,5,0.05669732303594708,0.05669732303594708
passive,37,6,0.0018013510364411544,0.0018013510364411544
passive,37,7,0.06317088114275289,0.06317088114275289
passive,37,8,0.08292861238843818,0.08292861238843818
passive,37,9,0.0518565875029485,0.0518565875029485
passive,38,0,0.04007878006769546,0.04007878006769546
passive,38,1,0.11459229199863472,0.11459229199863472
passive,38,2,0.05669732303594708,0.05669732303594708
passive,38,3,0.054895971999505924,0.054895971999505924
passive,38,4,0.07645505428163236,0.07645505428163236
passive,38,5,0.05486763485112397,0.05486763485112397
passive,38,6,0.09621278552731766,0.09621278552731766
passive,38,7,0.08294066277343194,0.08294066277343194
passive,38,8,0.11806685314225883,0.11806685314225883
passive,38,9,0.048353689210942435,0.048353689210942435
passive,39,0,0.043158552097628596,0.043158552097628596
passive,39,1,0.09540523647747012,0.09540523647747012
passive,39,2,0.1306595677755552,0.1306595677755552
passive,39,3,0.05158993931851572,0.05158993931851572
passive,39,4,0.11223967377086244,0.11223967377086244
passive,39,5,0.09205881626310422,0.09205881626310422
passive,39,6,0.17180785284073305,0.17180785284073305
passive,39,7,0.026568346277758934,0.026568346277758934
passive,39,8,0.10977989361401809,0.10977989361401809
passive,39,9,0.0546009866666912,0.0546009866666912
passive,40,0,0.07406204852048437,0.07406204852048437
passive,40,1,0.09411476509898438,0.09411476509898438
passive,40,2,0.04799928763062718,0.04799928763062718
passive,40,3,0.17108805718676798,0.17108805718676798
passive,40,4,0.08057599416066591,0.08057599416066591
passive,40,5,0.045989020598176396,0.045989020598176396
passive,40,6,0.11750353556593393,0.11750353556593393
passive,40,7,0.07873425559084904,0.07873425559084904
passive,40,8,0.054304317274799084,0.054304317274799084
passive,40,9,0.049591722671058706,0.049591722671058706
passive,41,0,0.0577788784184232,0.0577788784184232
passive,41,1,0.06208932576027678,0.06208932576027678
passive,41,2,0.09124390906506087,0.09124390906506087
passive,41,3,0.018519697785569018,0.018519697785569018
passive,41,4,0.08585190634073116,0.08585190634073116
passive,41,5,0.04645253439362503,0.04645253439362503
passive,41,6,0.07812826438881532,0.07812826438881532
passive,41,7,0.06317088114275289,0.06317088114275289
