attendance,price,profit,welfare,distress_pct,trailing_mean_attendance,convergence_round_attendance,agent_type,bar_type,rounds,seed
4.8,6.6,27.359999999999996,33.66491442155669,0.0,3.5,,heuristic,q_learning,10,39
5.0,2.2,8.5,43.0097517855546,0.0,4.5,,heuristic,q_learning,10,40
4.9,5.4,24.529999999999998,42.02619420748885,0.0,5.5,,heuristic,q_learning,10,41
4.8,2.0,7.159999999999999,40.12921129688458,0.0,4.0,,heuristic,q_learning,10,42
4.7,4.0,16.990000000000002,35.11318225039298,0.0,2.0,,heuristic,q_learning,10,43
4.2,2.2,6.9399999999999995,32.10551151633339,0.0,2.5,,heuristic,q_learning,10,44
5.3,4.0,20.410000000000004,42.23503762263105,0.0,4.0,,heuristic,q_learning,10,45
4.2,4.6,18.339999999999996,27.9055846681049,0.0,3.0,,heuristic,q_learning,10,46
4.1,2.6,7.369999999999999,29.501706440782748,0.0,3.0,,heuristic,q_learning,10,47
4.8,3.2,12.559999999999999,40.529346474622265,0.0,4.0,,heuristic,q_learning,10,48
5.2,4.4,21.44,44.84167072336814,0.0,4.0,,heuristic,q_learning,10,49
5.1,3.0,11.87,44.619754495484365,0.0,4.0,,heuristic,q_learning,10,50
4.7,3.4,11.19,31.852691250778758,0.0,3.5,,heuristic,q_learning,10,51
5.4,5.0,22.78,47.2544779251415,0.0,5.0,,heuristic,q_learning,10,52
4.9,3.2,12.53,39.033081972588064,0.0,3.5,,heuristic,q_learning,10,53
4.0,3.2,14.799999999999997,26.17641547445776,0.0,1.0,,heuristic,q_learning,10,54
5.0,2.0,7.5,43.539232120297676,0.0,4.5,,heuristic,q_learning,10,55
4.8,5.6,24.360000000000003,40.27270139722184,0.0,4.5,,heuristic,q_learning,10,56
4.9,5.2,21.729999999999997,40.026884338208944,0.0,3.5,,heuristic,q_learning,10,57
5.2,4.8,22.439999999999998,46.003447251287795,0.0,6.0,,heuristic,q_learning,10,58
4.9,6.0,29.330000000000002,40.8644176795692,0.0,3.5,,heuristic,q_learning,10,59
4.6,3.4,12.419999999999998,39.69792820065457,0.0,3.0,,heuristic,q_learning,10,60
4.9,4.6,21.130000000000003,37.95304849715927,0.0,5.5,,heuristic,q_learning,10,61
5.3,2.0,8.01,46.98700482935355,0.0,4.0,,heuristic,q_learning,10,62
4.4,5.6,19.68,34.313081569923085,0.0,3.0,,heuristic,q_learning,10,63
4.6,4.0,14.220000000000002,38.273655534021906,0.0,4.0,,heuristic,q_learning,10,64
4.5,2.2,7.25,34.09431259197818,0.0,4.5,,heuristic,q_learning,10,65
4.4,2.8,11.679999999999998,34.72611988539689,0.0,2.5,,heuristic,q_learning,10,66
4.9,5.2,18.529999999999998,35.44874235509781,0.0,3.0,,heuristic,q_learning,10,67
5.8,5.6,30.46,51.42331207355012,0.0,5.5,,heuristic,q_learning,10,68
5.0,3.8,17.7,42.24811043537263,0.0,5.0,,heuristic,q_learning,10,69
5.0,3.4,14.1,39.743804293311165,0.0,3.0,,heuristic,q_learning,10,70
5.1,5.4,24.070000000000004,43.4579779675647,0.0,4.0,,heuristic,q_learning,10,71
4.8,4.4,20.96,39.295089211543186,0.0,2.0,,heuristic,q_learning,10,72
4.8,4.8,19.56,39.65455014737712,0.0,3.0,,heuristic,q_learning,10,73
4.9,3.4,13.73,42.78783555767083,0.0,4.0,,heuristic,q_learning,10,74
5.3,2.6,11.61,47.243649906753966,0.0,5.0,,heuristic,q_learning,10,75
5.0,2.4,9.5,43.37955184001819,0.0,5.0,,heuristic,q_learning,10,76
4.8,4.2,15.36,33.58169999908426,0.0,3.5,,heuristic,q_learning,10,77
4.3,2.2,6.710000000000001,34.5100547188257,0.0,6.0,,heuristic,q_learning,10,78
5.3,3.8,17.810000000000002,46.45167343329789,0.0,5.5,,heuristic,q_learning,10,79
4.7,4.0,15.59,35.31500814255779,0.0,3.0,,heuristic,q_learning,10,80
4.8,4.0,19.759999999999998,37.91188535549764,0.0,3.5,,heuristic,q_learning,10,81
5.5,2.0,8.35,45.08524298802697,0.0,5.0,,heuristic,q_learning,10,82
4.4,3.0,12.48,37.11470703128872,0.0,1.5,,heuristic,q_learning,10,83
5.4,3.8,16.380000000000003,47.94852116616448,0.0,5.5,,heuristic,q_learning,10,84
4.6,5.0,20.02,37.30348999345017,0.0,4.5,,heuristic,q_learning,10,85
4.5,2.0,6.65,34.23780269231545,0.0,3.0,,heuristic,q_learning,10,86
4.9,3.2,14.530000000000001,37.95304849715927,0.0,4.5,,heuristic,q_learning,10,87
4.8,6.2,28.360000000000003,38.492773619457466,0.0,5.0,,heuristic,q_learning,10,88
