uncorrected_regret,corrected_regret,bar_type,seed,agent_id
0.4813069270065723,0.4795055759701311,q_learning,6,9
0.3664232916884976,0.3560907496502932,q_learning,7,0
0.4146875192464595,0.41117257056945977,q_learning,7,1
0.35030674112486354,0.36835087472999023,q_learning,7,2
0.33247537099306973,0.3307144074900039,q_learning,7,3
0.3684320511628884,0.3446358391639982,q_learning,7,4
0.4198902931680997,0.37599929299825663,q_learning,7,5
0.3781925029636898,0.3390140973975872,q_learning,7,6
0.26874745817562823,0.26513438977682957,q_learning,7,7
0.3032261463894404,0.275925352039467,q_learning,7,8
0.3305952398889332,0.3132021772560144,q_learning,7,9
0.03771319841844773,0.03892505600439204,gp,0,0
0.03450673436409356,0.04720141405247618,gp,0,1
0.07510520114277744,0.08283100436890328,gp,0,2
0.08381548760019995,0.08935720106118744,gp,0,3
0.04883352425691061,0.06320141405247619,gp,0,4
0.07952405865143138,0.09389194844699694,gp,0,5
0.09354337700509086,0.10610991576421529,gp,0,6
0.06852178396433407,0.07624758719045992,gp,0,7
0.0022528489340273754,0.011780003196594379,gp,0,8
0.06179413976035318,0.07452920698211152,gp,0,9
0.10830338293787345,0.10830338293787345,gp,1,0
-0.027620994156366284,-0.027620994156366284,gp,1,1
0.013974919275089726,0.013974919275089726,gp,1,2
0.11335229793141731,0.11335229793141731,gp,1,3
0.057755348003922485,0.057755348003922485,gp,1,4
0.05371464732328491,0.05371464732328491,gp,1,5
-0.0022508296737033806,-0.0022508296737033806,gp,1,6
-0.022936536033898978,-0.022936536033898978,gp,1,7
0.05410943643697587,0.05410943643697587,gp,1,8
-0.0027434274740381365,-0.0027434274740381365,gp,1,9
0.03983953182907141,0.043442233901953724,gp,2,0
0.046568424270780596,0.04820124684458784,gp,2,1
0.17919588677221823,0.19411288248490494,gp,2,2
0.03516732475870675,0.043442233901953724,gp,2,3
0.004095299873217062,0.008767506943581728,gp,2,4
0.06438202635932438,0.05954129082632581,gp,2,5
0.040527546335584856,0.04576307098227441,gp,2,6
0.06136953010631174,0.06120100164367782,gp,2,7
0.045115644676245556,0.05699325589237484,gp,2,8
0.05407856832600599,0.05948262143532943,gp,2,9
0.14010378569716078,0.14010378569716078,gp,3,0
0.11708020863675214,0.11708020863675214,gp,3,1
0.0296378623498219,0.0296378623498219,gp,3,2
0.014482154266866628,0.014482154266866628,gp,3,3
0.0010417037174558796,0.0010417037174558796,gp,3,4
0.05982206449993678,0.05982206449993678,gp,3,5
0.01608684035940079,0.01608684035940079,gp,3,6
0.0806056140339075,0.0806056140339075,gp,3,7
0.01652221767357635,0.01652221767357635,gp,3,8
0.01983157369647928,0.01983157369647928,gp,3,9
0.09493216877248434,0.09535404679682896,gp,4,0
0.0797214359647112,0.0797214359647112,gp,4,1
0.060512274767791564,0.060512274767791564,gp,4,2
0.024247308530329373,0.024247308530329373,gp,4,3
0.023458041338102507,0.023458041338102507,gp,4,4
0.021079783104513746,0.021079783104513746,gp,4,5
0.09080998065572247,0.09080998065572247,gp,4,6
0.029412113401028794,0.029412113401028794,gp,4,7
0.06421278552731766,0.06421278552731766,gp,4,8
0.06977258017881692,0.07019445820316154,gp,4,9
0.058006076272053474,0.058006076272053474,gp,5,0
0.07309015154253692,0.07309015154253692,gp,5,1
0.12545562360920837,0.12545562360920837,gp,5,2
0.09631039354685257,0.10075685166842412,gp,5,3
0.06473227157119718,0.06473227157119718,gp,5,4
0.08417994447127651,0.08417994447127651,gp,5,5
0.035405860627957975,0.035405860627957975,gp,5,6
0.03768775907974012,0.03768775907974012,gp,5,7
