agent_type,bar_type,seed,attendance_mean,price_mean,profit_mean,welfare_mean
heuristic,q_learning,18,5.828,5.654,35.3256,37.265102220557836
heuristic,q_learning,19,5.663,6.552,36.579100000000004,23.35399514331503
heuristic,q_learning,20,5.69,5.25,29.698999999999998,34.95889077358521
heuristic,q_learning,21,5.665,6.942,33.54849999999999,33.934854266694394
heuristic,q_learning,22,5.664,3.862,18.244799999999998,38.527978543670415
heuristic,q_learning,23,5.607,5.014,27.4799,33.70705974369365
heuristic,q_learning,24,5.664,6.708,33.6108,35.656957856267454
heuristic,q_learning,25,5.829,6.01,28.779299999999996,35.326282190793
heuristic,q_learning,26,5.75,6.206,34.101,40.21832722633403
heuristic,q_learning,27,5.628,7.318,41.9556,34.43123367749982
heuristic,q_learning,28,5.667,5.944,24.7999,25.92402712806756
heuristic,q_learning,29,5.865,4.702,25.7965,36.561546087754294
heuristic,q_learning,30,5.337,7.514,35.712900000000005,33.09035642850015
heuristic,q_learning,31,5.748,5.35,27.3476,40.88154623551135
heuristic,q_learning,32,5.665,4.936,19.1445,35.581359332937495
heuristic,q_learning,33,5.901,6.1,42.735699999999994,27.62976562001308
heuristic,q_learning,34,5.915,8.562,46.1715,35.07312419362641
heuristic,q_learning,35,5.833,7.302,42.2961,36.8694584151463
heuristic,q_learning,36,5.666,6.888,32.7222,23.409786552424215
heuristic,q_learning,37,5.751,5.922,33.9347,40.87826175300482
heuristic,q_learning,38,5.627,7.082,35.9959,34.37522644614828
heuristic,q_learning,39,5.751,5.418,30.848700000000004,40.84217090091613
heuristic,q_learning,40,5.832,5.038,30.4404,38.2058506321112
heuristic,q_learning,41,5.7,6.854,43.809999999999995,28.459607154205113
heuristic,q_learning,42,5.667,5.314,28.217899999999997,36.85788869218341
heuristic,q_learning,43,5.75,6.954,38.007,40.9332838197237
heuristic,q_learning,44,5.725,5.298,24.7985,35.40417357237838
heuristic,q_learning,45,5.704,6.134,29.880800000000004,33.15159058423994
heuristic,q_learning,46,5.745,8.354,46.8505,34.261072591070345
heuristic,q_learning,47,5.667,5.918,22.4219,36.91261229666713
heuristic,q_learning,48,5.75,3.594,16.641,39.59751473426314
heuristic,q_learning,49,5.603,9.216,49.48910000000001,37.227114178059125
heuristic,q_learning,50,5.503,6.12,31.251100000000008,32.22593842283781
heuristic,q_learning,51,5.5,7.758,32.008,19.337481167183206
heuristic,q_learning,52,5.67,7.456,35.48299999999999,36.92121057088301
heuristic,q_learning,53,5.626,7.024,34.258199999999995,34.395732680822505
heuristic,q_learning,54,5.721,6.51,33.2517,37.62758461820273
heuristic,q_learning,55,5.833,6.206,37.9801,35.3860948557917
heuristic,q_learning,56,5.598,6.736,36.5126,37.19377135011959
heuristic,q_learning,57,5.665,8.712,45.2165,23.337095637227723
heuristic,q_learning,58,5.729,6.418,32.577299999999994,35.250099170008966
heuristic,q_learning,59,5.777,5.07,31.1949,39.97299499916561
heuristic,q_learning,60,5.829,3.548,16.6913,36.76624354051475
heuristic,q_learning,61,5.663,3.844,21.8971,35.56146898094762
heuristic,q_learning,62,5.603,6.86,36.8731,37.220874864267145
heuristic,q_learning,63,5.747,8.852,48.559900000000006,34.39372161309277
heuristic,q_learning,64,5.749,7.308,40.889300000000006,34.25672349618587
heuristic,q_learning,65,5.628,8.644,44.2076,34.396003806116546
heuristic,q_learning,66,5.747,6.514,28.9159,40.78297101947219
heuristic,q_learning,67,5.669,6.356,36.72729999999999,34.90372172975667
heuristic,q_learning,68,5.903,4.824,19.681099999999997,27.667529716231655
heuristic,q_learning,69,5.747,5.212,27.8979,40.8425027811817
heuristic,q_learning,70,5.803,6.124,37.0231,32.55239160953867
heuristic,q_learning,71,5.669,8.154,46.4313,36.866941591767585
heuristic,q_learning,72,5.666,5.35,32.0102,36.89038532199568
heuristic,q_learning,73,5.668,6.744,36.693599999999996,30.520424955854825
heuristic,q_learning,74,5.725,6.764,35.4705,35.150717315392285
heuristic,q_learning,75,5.727,5.428,27.9419,34.83571611382169
heuristic,q_learning,76,5.703,4.746,23.469099999999997,36.294880282502156
heuristic,q_learning,77,5.664,5.68,31.834799999999994,36.87201156769125
heuristic,q_learning,78,5.338,6.886,42.0666,33.05009116773975
heuristic,q_learning,79,5.909,5.34,29.137300000000003,35.06475035424336
heuristic,q_learning,80,5.77,6.766,38.151,33.70447398095805
heuristic,q_learning,81,5.769,6.662,36.2593,39.73771599283278
heuristic,q_learning,82,5.602,6.69,32.423399999999994,35.02867244670254
heuristic,q_learning,83,5.799,7.606,44.792300000000004,32.50587371773931
heuristic,q_learning,84,5.797,6.342,33.8209,35.47826378054108
heuristic,q_learning,85,5.626,4.592,18.1102,34.471904737368504
heuristic,q_learning,86,5.665,5.646,29.2365,36.88970839759334
heuristic,q_learning,87,5.748,6.742,35.6376,40.864222978778855
heuristic,q_learning,88,5.863,7.11,39.9631,35.71853087726582
heuristic,q_learning,89,5.728,6.586,34.647600000000004,34.831719651041894
