agent_type,condition,seed,attendance_mean,price_mean,profit_mean
q_learning,price_blind,29,4.91,2.588739551989014,8.260021736028968
q_learning,price_aware,30,2.68,6.114639949306126,8.127564808259798
q_learning,price_blind,30,4.973333333333334,2.744524077381893,9.386198028601747
q_learning,price_aware,31,5.556666666666667,2.675424857361339,10.14327933159647
q_learning,price_blind,31,5.053333333333334,2.851303977410994,9.790049906037769
q_learning,price_aware,32,4.3566666666666665,2.7358973598872405,7.758882748518742
q_learning,price_blind,32,4.166666666666667,2.5519091819744477,7.060345131811348
q_learning,price_aware,33,4.6033333333333335,2.366676746349486,7.508874928319979
q_learning,price_blind,33,5.046666666666667,2.9265896694071887,10.486339905801275
q_learning,price_aware,34,1.7366666666666666,7.051200000000001,6.814466666666667
q_learning,price_blind,34,5.09,2.889372417594969,10.835201157770724
q_learning,price_aware,35,5.0633333333333335,2.6784853569030482,8.780007425105532
q_learning,price_blind,35,4.44,2.6658341493375413,7.6886778927060035
q_learning,price_aware,36,5.216666666666667,2.2678754891915998,8.289429128369763
q_learning,price_blind,36,4.473333333333334,2.5429274293251387,7.215032671220091
q_learning,price_aware,37,5.713333333333333,2.3905600429835854,10.103448597584126
q_learning,price_blind,37,5.266666666666667,2.986839375841184,11.186557168018977
q_learning,price_aware,38,4.993333333333333,2.4039786145149318,8.282032167602752
q_learning,price_blind,38,4.996666666666667,2.9533800663672465,10.437028353710245
q_learning,price_aware,39,5.66,2.5610927701935924,10.421450272250116
q_learning,price_blind,39,4.786666666666667,2.5605212084059037,7.842567377349272
q_learning,price_aware,40,5.02,2.736462527091798,8.989867580869088
q_learning,price_blind,40,4.28,2.6332345514015247,7.336629470994717
q_learning,price_aware,41,1.95,6.715810816326083,7.314514826736807
q_learning,price_blind,41,4.536666666666667,2.61308974632184,7.639608152440087
q_learning,price_aware,42,4.08,3.4917236375335303,8.050688042978491
q_learning,price_blind,42,4.236666666666666,2.6631178039073453,7.272104478390632
q_learning,price_aware,43,4.14,3.880133106200944,8.370609314089524
q_learning,price_blind,43,5.05,2.823980087703232,9.991442968030901
q_learning,price_aware,44,5.75,2.367098511234076,9.782449760019592
q_learning,price_blind,44,5.073333333333333,2.5597165328259224,8.648902634079041
q_learning,price_aware,45,1.06,8.98705920624804,7.094544795458787
q_learning,price_blind,45,4.47,2.615382659506207,7.518948443461412
q_learning,price_aware,46,0.85,9.83553069193056,7.129407123572496
q_learning,price_blind,46,5.216666666666667,2.8016641276555565,10.057956117999675
q_learning,price_aware,47,1.0366666666666666,8.032562918040028,5.460808258023558
q_learning,price_blind,47,4.583333333333333,2.587497271753856,7.475588553153731
q_learning,price_aware,48,4.77,2.475569127366778,7.981091585240877
q_learning,price_blind,48,4.536666666666667,2.5547051951761905,7.4318036421684095
q_learning,price_aware,49,5.36,2.6565715995010177,9.646393651251104
q_learning,price_blind,49,4.98,3.046056475584085,10.798124262377671
q_learning,price_aware,50,3.29,4.961293483840639,8.320002787811918
q_learning,price_blind,50,4.503333333333333,2.661242697529794,7.95677487640828
q_learning,price_aware,51,4.58,3.093935354875,8.174451576183817
q_learning,price_blind,51,4.666666666666667,2.635278319373412,7.692711996288207
q_learning,price_aware,52,5.653333333333333,2.298736071302106,9.376800160891136
q_learning,price_blind,52,4.676666666666667,2.5893785523207105,7.839372862647743
q_learning,price_aware,53,4.65,2.494912213229854,7.8042713532229175
q_learning,price_blind,53,3.9066666666666667,2.6334765276711662,6.502135556726958
q_learning,price_aware,54,3.6333333333333333,4.786583037855503,8.760236288657083
q_learning,price_blind,54,5.163333333333333,2.565969440747511,8.657335202227069
q_learning,price_aware,55,3.216666666666667,4.732049503380857,7.259456392737411
q_learning,price_blind,55,4.16,2.602979239075006,6.89091368301039
q_learning,price_aware,56,5.906666666666666,2.7497184184183014,12.084549647142321
q_learning,price_blind,56,4.796666666666667,2.6258832359610182,8.240930951355034
q_learning,price_aware,57,4.506666666666667,3.3067590830368854,9.743248565673923
q_learning,price_blind,57,4.49,2.912077328436331,8.469719143183347
q_learning,price_aware,58,0.74,9.940846362301123,6.130286589840594
q_learning,price_blind,58,4.006666666666667,2.615663296547308,6.789294753313223
q_learning,price_aware,59,5.59,2.7959853254754785,10.75584725826181
q_learning,price_blind,59,4.756666666666667,2.6272518199587838,8.077764444989601
q_learning,price_aware,60,5.573333333333333,2.6369275665443603,10.056379328168633
q_learning,price_blind,60,4.653333333333333,2.6366472331304,7.8623403048210365
q_learning,price_aware,61,4.77,2.7908930662185782,8.424884443728237
q_learning,price_blind,61,4.62,2.688730859611465,8.100692380043165
q_learning,price_aware,62,4.58,2.66392991851688,7.983424547874168
q_learning,price_blind,62,4.713333333333333,2.6555346126036916,8.09109800092825
q_learning,price_aware,63,5.453333333333333,2.710478921304343,10.393569809984577
q_learning,price_blind,63,4.766666666666667,2.6959487558818,8.29355492077295
q_learning,price_aware,64,0.82,9.922939328120252,6.8809172707141775
q_learning,price_blind,64,4.6866666666666665,2.6025486852089053,7.73415235497621
q_learning,price_aware,65,0.6733333333333333,9.965429282905205,5.510540902177059
q_learning,price_blind,65,4.22,2.5688349626876272,6.84144636691746
q_learning,price_aware,66,4.8966666666666665,2.4825083962794707,8.410610186125789
q_learning,price_blind,66,4.29,2.58139313113877,7.199366984068274
